Coffee Name,Caffeine Level,Sweetness,Type,Roast Level,Milk Type,Flavor Notes,Acidity Level,Bitterness Level,Weather,Temperature
Iced French Vanilla,Low,High,Frozen,Medium,Dairy,Vanilla,Medium,Medium,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced Cappuccino Supreme,High,Low,Iced,None,Dairy,Nutty,Low,Low,Hot,Iced
Iced Coffee,Low,High,Hot,Medium,Dairy,Sweet,Low,High,Cold,Iced
Iced French Vanilla,Low,High,Frozen,Medium,Dairy,Vanilla,Medium,Medium,Cold,Hot
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
French Vanilla,High,High,Iced,Medium,Dairy,Bitter,Low,Medium,Hot,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Iced Coffee,Low,High,Iced,Medium,None,Creamy,Low,Medium,Cold,Hot
Classic Roast,Medium,High,Hot,Dark,None,Coffee,Low,Medium,Cold,Iced
Triple Coffee Jelly,Medium,Low,Iced,Dark,Dairy,Coffee,Low,Low,Cold,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Cappuccino,Medium,Medium,Hot,None,Dairy,Coffee,Low,Medium,Hot,Hot
Cafe Americano,High,Low,Hot,Medium,None,Bitter,Medium,High,Cold,Hot
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Café Mocha,High,Low,Hot,Dark,Dairy,Nutty,Low,Medium,Hot,Hot
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Triple Coffee Jelly,Medium,Low,Hot,Medium,Dairy,Chocolate,Low,Low,Hot,Iced
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
